Name,Location,Website,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
Otsego Area BOCES-Practical Nursing Program,"31 Center Street 3rd floor, Oneonta, New York 13820-1142",www.oncboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Pace University,"New York, NY",https://www.collegexpress.com/college/pace-university/1100090/details/,"$49,550",82%,14:1,"Pace University, founded in 1906, is a private, comprehensive university. Its three-acre urban campus is located in New York City and its 200-acre suburban campus is located in Pleasantville-Briarcliff, 20 miles from New York City.","4-year, Private not-for-profit",-
Pace University—Westchester,"Pleasantville, NY",https://www.collegexpress.com/college/pace-university-westchester/200000054/details/,"$49,550",85%,14:1,"Founded in 1906, Pace University is a private comprehensive university. Its three-acre urban campus is located in New York City and its 200-acre suburban campus is located in Pleasantville-Briarcliff, 20 miles from New York City.",Information Unavailable,Information Unavailable
Pacific College of Health and Science,"110 William St. 19th Fl, New York, New York 10038",www.pacificcollege.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private for-profit",-
Parsons School of Design at The New School,"New York, NY",https://www.collegexpress.com/college/parsons-school-of-design-at-the-new-school/1100100/details/,"$50,460",46%,10:1,"Founded in 1896 and affiliated with The New School in 1970, Parsons School of Design is a private coeducational school of the arts. Its campus is located in New York City.",Information Unavailable,Information Unavailable
Paul Mitchell the School-NYC,"187 New Dorp Lane, Staten Island, New York 10306",paulmitchell.edu/nyc,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Paul Mitchell the School-Schenectady,"411 State Street, Schenectady, New York 12305-2303",paulmitchell.edu/schenectady,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Paul Smith's College,"Paul Smiths, NY",https://www.collegexpress.com/college/paul-smiths-college/3000445/details/,"$30,160",67%,12:1,"Paul Smith's College, founded in 1937, is a private, specialized institution. Its 14,200-acre wilderness campus is located in Paul Smith's, New York.",Information Unavailable,Information Unavailable
Paul Smiths College of Arts and Science,"7777 State Route 30, Paul Smiths, New York 12970-0265",https://www.paulsmiths.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Plaza College,"Forest Hills, NY",https://www.collegexpress.com/college/plaza-college/3101065/details/,"$12,000",30%,28:1,"Plaza College, founded in 1916, is a private two-year institution. Its campus is located in Forest Hills, NY.","4-year, primarily associate's, Private for-profit",-
Pomeroy College of Nursing at Crouse Hospital,"5000 Brittonfield Parkway, East Syracuse, New York 13057-1687",www.crouse.org/nursing,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Pratt Institute,"Brooklyn, NY",https://www.collegexpress.com/college/pratt-institute/1100158/details/,"$51,754",65%,9:1,"Pratt Institute, founded in 1887, is a private, multipurpose institute. Programs are offered through the Schools of Architecture and Art and Design. Its 25-acre campus is located in Brooklyn.",Information Unavailable,Information Unavailable
Pratt Institute-Main,"200 Willoughby Ave, Brooklyn, New York 11205",https://www.pratt.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Pratt Manhattan-A Division of Pratt Institute,"144 West 14th Street, New York, New York 10011",https://www.pratt.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
PrattMWP College of Art and Design,"Utica, NY",https://www.collegexpress.com/college/prattmwp-college-of-art-and-design/3302617/details/,"$32,210",Information Unavailable,10:1,"Pratt at Munson Williams Proctor Arts Institute, founded in 1919, is a small art college offering the first two years of a bachelor's degree with the last two years at the Pratt Institute in Brooklyn, NY. Its campus is located in Utica, NY.",Information Unavailable,Information Unavailable
Professional Culinary Academy,"875 Elmwood Avenue, Buffalo, New York 14222-1433",professionalculinaryacademy.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Culinary Arts and Related Services, Other"
Purchase College,"Purchase, NY",https://www.collegexpress.com/college/purchase-college/1100161/details/,"$7,070",73%,14:1,"Purchase College, SUNY, founded in 1967, is a public college and part of the State University of New York system. Located 25 miles north of Manhattan in Westchester County, the campus sits on a 500-plus acre estate and offers programs in the School of the Arts, the School of Liberal Arts and Sciences, and the School of Liberal Studies and Continuing Education.",Information Unavailable,Information Unavailable
"Queens College, CUNY","Queens, NY",https://www.collegexpress.com/college/queens-college-cuny/1100946/details/,"$6,930",53%,16:1,"Founded in 1937, Queens College is a public coeducational liberal arts institution in the City University of New York school system. Its 80-acre campus is located in the Flushing section of Queens in New York.",Information Unavailable,Information Unavailable
Queensborough Community College,"Bayside, NY",https://www.collegexpress.com/college/queensborough-community-college/3300977/details/,"$4,800",Information Unavailable,19:1,"Queensborough Community College, founded in 1959, is a public two-year institution. Its 34-acre campus is located in Bayside, NY.",Information Unavailable,Information Unavailable
Rabbinical Academy Mesivta Rabbi Chaim Berlin,"1593 Coney Island Ave, Brooklyn, New York 11230",https://rabbinicalacademyrabbichaimberlin.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rabbinical College Beth Shraga,"28 Saddle River Rd, Monsey, New York 10952-3033",https://rabbinicalcollegebethshraga.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Rabbinical College Bobover Yeshiva Bnei Zion,"1577 48th St, Brooklyn, New York 11219",rabbinicalcollegeboboveryeshiva.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rabbinical College Ohr Yisroel,"8800 Seaview Ave, Brooklyn, New York 11236",www.rabbinicalcollegeohryisroel.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rabbinical College of Long Island,"205 W Beech Street, Long Beach, New York 11561",https://rabbinicalcollegelongisland.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Rabbinical College of Ohr Shimon Yisroel,"215-217 Hewes St, Brooklyn, New York 11211",https://ohr-sy.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rabbinical Seminary of America,"76-01 147th St, Flushing, New York 11367",www.rabbinical.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rabbinical Seminary of America-Ma'yan HaTorah,"113-25 Myrtle Ave, Richmond Hill, New York 11418",Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Relay Graduate School of Education,"25 Broadway, 3rd Fl, New York, New York 10004",www.relay.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rensselaer Polytechnic Institute,"Troy, NY",https://www.collegexpress.com/college/rensselaer-polytechnic-institute/1100089/details/,"$55,600",57%,12:1,"Rensselaer Polytechnic Institute, founded in 1824, is a private, technical institution. Programs are offered through the Schools of Architecture, Engineering, Humanities Arts &amp; Social Sciences, Management, and Science. Its 260-acre campus is located in Troy, 15 miles from Albany.","4-year, Private not-for-profit",-
Roberts Wesleyan College,"Rochester, NY",https://www.collegexpress.com/college/roberts-wesleyan-college/1100145/details/,"$32,322",75%,11:1,"Founded in 1866, Roberts Wesleyan College is a private Christian liberal arts college. Its 188-acre campus is located eight miles from downtown Rochester.",Information Unavailable,Information Unavailable
Roberts Wesleyan University,"2301 Westside Dr, Rochester, New York 14624",www.roberts.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Rochester Institute of Technology,"Rochester, NY",https://www.collegexpress.com/college/rochester-institute-of-technology/1100157/details/,"$50,564",73%,13:1,"Rochester Institute of Technology, founded in 1829, is a private, coeducational institution. Its 1,300-acre campus is located in Rochester, 75 miles from Buffalo and 97 miles from Syracuse, with branch campuses abroad in China, Croatia, Dubai, and Kosovo.","4-year, Private not-for-profit",-
Rockland Community College,"Suffern, NY",https://www.collegexpress.com/college/rockland-community-college/3300997/details/,"$5,110",Information Unavailable,Information Unavailable,"Rockland Community College, founded in 1959, is a public two-year institution. Its 120-acre campus is located in Suffern, NY.","2-year, Public",-
Rockland County BOCES-Practical Nursing Program,"65 Parrott Rd, Bldg 3, West Nyack, New York 10994",www.rocklandboces.org/programs-for-students/adult-education/practical-nursing,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Russell Sage College,"Troy, NY",https://www.collegexpress.com/college/russell-sage-college/1100208/details/,"$31,450",74%,11:1,"Russell Sage College (formerly The Sage Colleges), is a four-year college  specializing in the arts and sciences and professional fields of study with two campuses in Troy and Albany, NY. Both campuses offer both undergraduate and graduate degree programs and courses.","4-year, Private not-for-profit",-
SAE Institute of Technology-New York,"218 West 18th St Fl 4, New York, New York 10011-4552",https://usa.sae.edu/campuses/new-york/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",-
SAGE Truck Driving School — New York,"Endicott, NY",https://www.collegexpress.com/college/sage-truck-driving-school-new-york/3303649/details/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable
SAGE Truck Driving School — Rome,"Rome, NY",https://www.collegexpress.com/college/sage-truck-driving-school-rome/3303727/details/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable
SUNY Adirondack,"Queensbury, NY",https://www.collegexpress.com/college/suny-adirondack/3301630/details/,"$4,944",Information Unavailable,20:1,"Founded in 1961, SUNY Adirondack is a public community liberal arts college. Its campus is located in Queensbury, New York.","2-year, Public",-
SUNY Brockport,"Brockport, NY",https://www.collegexpress.com/college/suny-brockport/1100135/details/,"$7,070",58%,17:1,"SUNY Brockport, founded in 1835, is a public, comprehensive four-year college. Its 464-acre campus is located in Brockport, NY: 16 miles west of Rochester, NY, 45 miles east of Buffalo, NY, and a short drive from the Canadian border.","4-year, Public",-
SUNY Broome Community College,"Binghamton, NY",https://www.collegexpress.com/college/suny-broome-community-college/3300955/details/,"$5,088",Information Unavailable,Information Unavailable,"Broome Community College is a public, comprehensive community college supervised the the State University of New York, sponsored by the County of Broome, and governed by a Board of Trustees. Chartered in 1946 Broome Community College's 220-acre campus is located in BInghamton, New York.","2-year, Public",-
SUNY Buffalo State University,"1300 Elmwood Ave, Buffalo, New York 14222",https://suny.buffalostate.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY Canton,"Canton, NY",https://www.collegexpress.com/college/suny-canton/5009129/details/,"$7,070",83%,18:1,"Founded in 1906, SUNY Canton is a public coeducational residential college located on a 555-acre campus along the banks of the Grasse River in Canton, New York.",Information Unavailable,Information Unavailable
SUNY Cobleskill,"Cobleskill, NY",https://www.collegexpress.com/college/suny-cobleskill/3000130/details/,"$7,070",80%,16:1,"Founded in 1911, SUNY Cobleskill is a public polytechnic college with a rich academic tradition spanning over 100 years. Over 2,300 students are enrolled in the 58 certificate, associate, and baccalaureate degree programs offered.  Its 902-acre campus is located in Cobleskill, 35 miles from Albany.",Information Unavailable,Information Unavailable
SUNY College at Geneseo,"1 College Circle, Geneseo, New York 14454-1465",https://www.geneseo.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College at Plattsburgh,"101 Broad Street, Plattsburgh, New York 12901-2681",https://www.plattsburgh.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College at Potsdam,"44 Pierrepont Ave, Potsdam, New York 13676-2294",www.potsdam.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College of Agriculture and Technology at Cobleskill,"State Route 7, Cobleskill, New York 12043",www.cobleskill.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College of Environmental Science and Forestry,"Syracuse, NY",https://www.collegexpress.com/college/suny-college-of-environmental-science-and-forestry/1100142/details/,"$7,070",60%,13:1,"SUNY College of Environmental Science and Forestry, founded in 1911, is a public, multipurpose college. Its 12-acre campus is located in Syracuse.","4-year, Public",-
SUNY College of Optometry,"33 West 42nd Street, New York, New York 10036-8003",www.sunyopt.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College of Technology at Alfred,"10 Upper College Drive, Alfred, New York 14802",www.alfredstate.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Public",-
SUNY College of Technology at Canton,"34 Cornell Drive, Canton, New York 13617-1098",www.canton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY College of Technology at Delhi,"454 Delhi Drive, Delhi, New York 13753-1100",www.delhi.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY Corning Community College,"Corning, NY",https://www.collegexpress.com/college/suny-corning-community-college/3300983/details/,"$5,068",Information Unavailable,Information Unavailable,"Corning Community College, founded in 1956, is a public, coeducational, two-year institution. Its campus is located in Corning, NY.","2-year, Public",-
SUNY Cortland,"Cortland, NY",https://www.collegexpress.com/college/suny-cortland/1100140/details/,"$7,070",52%,16:1,"SUNY Cortland, founded in 1868, is a public, multipurpose college of arts and sciences. Its 191-acre campus is located in Cortland, 30 miles from Syracuse.",Information Unavailable,Information Unavailable
SUNY Delhi,"Delhi, NY",https://www.collegexpress.com/college/suny-delhi/3300952/details/,"$7,070",64%,15:1,"SUNY--Delhi, founded in 1913, is a public, coeducational institution offering degrees ranging from the Certificate to Master's level.  Its campus is located in Delhi, New York.",Information Unavailable,Information Unavailable
SUNY Downstate Health Sciences University,"450 Clarkson Ave, Brooklyn, New York 11203-2098",https://www.downstate.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY Empire State College,"Saratoga Springs, NY",https://www.collegexpress.com/college/suny-empire-state-college/3000011/details/,"$7,070",Information Unavailable,15:1,"SUNY Empire State College, founded in 1971, is a public, coeducational institution. Its campus is located in Saratoga Springs, New York.",Information Unavailable,Information Unavailable
SUNY Fredonia,"Fredonia, NY",https://www.collegexpress.com/college/suny-fredonia/1100143/details/,"$7,070",72%,14:1,"State University of New York at Fredonia is a public comprehensive selective liberal arts university in western New York, just minutes from Lake Erie. Founded in 1826, the university is among the oldest in the SUNY system.",Information Unavailable,Information Unavailable
SUNY Geneseo,"Geneseo, NY",https://www.collegexpress.com/college/suny-geneseo/1100146/details/,"$7,070",61%,17:1,"SUNY Geneseo, founded in 1871, is a public, multipurpose college of liberal arts and sciences. Its 220-acre campus is located in Geneseo, NY, 30 miles south of Rochester.",Information Unavailable,Information Unavailable
SUNY Maritime College,"Throggs Neck, NY",https://www.collegexpress.com/college/suny-maritime-college/1100167/details/,"$7,070",72%,Information Unavailable,"SUNY Maritime College, founded in 1874, is a public, multipurpose college for the maritime and related industries. Its 56-acre campus is located in Throggs Neck.","4-year, Public",-
SUNY Morrisville,"Morrisville, NY",https://www.collegexpress.com/college/suny-morrisville/5009395/details/,"$7,070",Information Unavailable,Information Unavailable,"SUNY Morrisville, founded in 1908, is a public, coeducational institution. Its campus is located in Morrisville, NY.","4-year, primarily associate's, Public",-
SUNY New Paltz,"New Paltz, NY",https://www.collegexpress.com/college/suny-new-paltz/1100148/details/,"$7,070",62%,16:1,"Founded in 1828, SUNY New Paltz is a public multipurpose institution of arts and sciences. Its 216-acre campus is located in New Paltz, 75 miles from Albany.",Information Unavailable,Information Unavailable
SUNY Old Westbury,"Old Westbury, NY",https://www.collegexpress.com/college/suny-old-westbury/1100149/details/,"$7,070",53%,18:1,"SUNY College at Old Westbury, founded in 1965, is a comprehensive public college offering undergraduate and graduate degrees. With a wooded 604-acre campus centrally located on Long Island, the nation's 17th largest population center, Old Westbury offers the best of both worlds -- a quiet atmosphere dedicated to learning, yet just 20 miles from the heart of New York City.","4-year, Public",-
SUNY Oneonta,"Oneonta, NY",https://www.collegexpress.com/college/suny-oneonta/1100151/details/,"$7,070",62%,17:1,"SUNY Oneonta, founded in 1889, is a public, multipurpose university of liberal arts and sciences. Its 250-acre campus is located in Oneonta, 75 miles southwest of Albany.","4-year, Public",-
SUNY Oswego,"Oswego, NY",https://www.collegexpress.com/college/suny-oswego/1100153/details/,"$7,070",68%,17:1,"SUNY Oswego, founded in 1861, is a public, multipurpose college of arts and sciences. Its 696-acre campus is located in Oswego, 35 miles northwest of Syracuse, on the shore of Lake Ontario.",Information Unavailable,Information Unavailable
SUNY Plattsburgh,"Plattsburgh, NY",https://www.collegexpress.com/college/suny-plattsburgh/1100155/details/,"$7,070",61%,16:1,"SUNY Plattsburgh, founded in 1889, is a public, multipurpose college of arts and sciences. Its 300-acre campus is located in Plattsburgh, 60 miles from Montreal, Canada.",Information Unavailable,Information Unavailable
SUNY Polytechnic Institute,"Utica and Albany, NY",https://www.collegexpress.com/college/suny-polytechnic-institute/1100163/details/,"$7,070",73%,13:1,"SUNY Polytechnic Institute, founded in 1966, is a public institute of technology. It has campuses in Utica and Albany, New York.","4-year, Public",-
SUNY Potsdam,"Potsdam, NY",https://www.collegexpress.com/college/suny-potsdam/1100159/details/,"$7,070",71%,11:1,"SUNY Potsdam, founded in 1816, is a public, liberal arts college. Its 240-acre campus is located in Potsdam NY, north of Syracuse.",Information Unavailable,Information Unavailable
SUNY Sullivan,"Loch Sheldrake, NY",https://www.collegexpress.com/college/suny-sullivan/3301000/details/,"$5,208",Information Unavailable,18:1,"Sullivan County Community College, founded in 1963, is a public two-year institution. Its 405-acre campus is located in Loch Sheldrake, NY.",Information Unavailable,Information Unavailable
SUNY Ulster,"Stone Ridge, NY",https://www.collegexpress.com/college/suny-ulster/3303908/details/,"$4,880",Information Unavailable,Information Unavailable,"SUNY Ulster is a public two-year institution. Its campus is located in Stone Ridge, NY.",Information Unavailable,Information Unavailable
SUNY Upstate Medical University,"Syracuse, NY",https://www.collegexpress.com/college/suny-upstate-medical-university/1100169/details/,Information Unavailable,Information Unavailable,Information Unavailable,"SUNY Upstate Medical University, founded in 1950, is a public, comprehensive institution. Its 30-acre campus is located in downtown Syracuse.",Information Unavailable,Information Unavailable
SUNY Westchester Community College,"75 Grasslands Road, Valhalla, New York 10595",www.sunywcc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
SUNY at Fredonia,"280 Central Ave, Fredonia, New York 14063-1136",https://www.fredonia.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
SUNY at Purchase College,"735 Anderson Hill Rd, Purchase, New York 10577-1400",www.purchase.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
Saint Elizabeth College of Nursing,"2215 Genesee Street, Utica, New York 13501",https://www.secon.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Saint John's University - Staten Island Campus,"300 Howard Avenue, Staten Island, New York 10301-4496",www.stjohns.edu/campuses/staten-island-campus,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Saint Vladimirs Orthodox Theological Seminary,"575 Scarsdale Rd, Yonkers, New York 10707-1699",www.svots.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Samaritan Hospital School of Nursing,"Troy, NY",https://www.collegexpress.com/college/samaritan-hospital-school-of-nursing/3302923/details/,"$11,456",100%,Information Unavailable,"Samaritan Hospital School of Nursing, founded in 1898, is a private two-year institution.","2-year, Private not-for-profit",-
Sarah Lawrence College,"Bronxville, NY",https://www.collegexpress.com/college/sarah-lawrence-college/1100082/details/,"$56,020",54%,9:1,"Sarah Lawrence College, founded in 1926, is a private, coeducational, liberal arts college. Its campus is located in Bronxville, New York.","4-year, Private not-for-profit",-
Schenectady County Community College,"Schenectady, NY",https://www.collegexpress.com/college/schenectady-county-community-college/3300998/details/,"$4,608",Information Unavailable,Information Unavailable,"Schenectady County Community College, founded in 1968, is a public two-year institution. Its 50-acre campus is located in Schenectady, NY.","2-year, Public",-
"School of Professional Horticulture, New York Botanical Garden","2900 Southern Blvd., Bronx, New York 10458-5126",www.nybg.org/edu/soph/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
School of Visual Arts,"New York, NY",https://www.collegexpress.com/college/school-of-visual-arts/1100245/details/,"$45,000",71%,8:1,"The School of Visual Arts, founded in 1947, is a private school of art. Its campus of 18 buildings is located in lower Manhattan.","4-year, Private for-profit",-
Schuyler Steuben Chemung Tioga Allegany BOCES,"459 Philo Road, Elmira, New York 14903",https://www.gstboces.org/page/adult-education,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Seminar L'moros Bais Yaakov,"4409 15th Ave, Brooklyn, New York 11219",seminarlmorosbaisyaakov.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Sh'or Yoshuv Rabbinical College,"1 Cedarlawn Avenue, Lawrence, New York 11559-1714",https://www.shoryoshuv.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Sharp Edgez Barber Institute,"398 West Ridge Road, Rochester, New York 14615-0000",www.sharpedgez.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Barbering/Barber
Sharp Edgez Barber Institute - Buffalo,"2844 Delaware Avenue, Buffalo, New York 14217-0000",www.sharpedgez.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Barbering/Barber
Shear Ego International School of Hair Design,"525 Titus Ave, Rochester, New York 14617",www.shearegoschool.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Siena College,"Loudonville, NY",https://www.collegexpress.com/college/siena-college/1100096/details/,"$39,200",80%,12:1,"Siena College, founded in 1937, is an independent, liberal arts college with a Franciscan and Catholic tradition. Programs are offered through the Schools of Liberal Arts, Business, and Science.  Its 175-acre campus is located in Loudonville, 15-miles north of Albany.","4-year, Private not-for-profit",-
Skidmore College,"Saratoga Springs, NY",https://www.collegexpress.com/college/skidmore-college/1100099/details/,"$57,066",32%,8:1,"Skidmore College is a private, liberal arts college. Founded in 1903, it adopted coeducation in 1971. Its 890-acre campus is located in Saratoga Springs, 30 miles from Albany.","4-year, Private not-for-profit",-
Sotheby's Institute of Art-NY,"570 Lexington Avenue, 6th Floor, New York, New York 10022-6717",www.sothebysinstitute.com/Programmes/PNewyork.aspx,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private for-profit",-
Spanish–American Institute,"New York, NY",https://www.collegexpress.com/college/spanish-american-institute/3101079/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Spanish-American Institute, founded in 1955, is a private two-year institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
St Bernard's School of Theology and Ministry,"120 French Road, Rochester, New York 14618",www.stbernards.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St Bonaventure University,"3261 W. State Road, Saint Bonaventure, New York 14778-9800",https://www.sbu.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St Lawrence University,"23 Romoda Drive, Canton, New York 13617",www.stlawu.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St Paul's School of Nursing-Queens,"97-77 Queens Blvd, Rego Park, New York 11374",https://www.stpaulsschoolofnursing.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
St Paul's School of Nursing-Staten Island,"2 Teleport Drive, Corporate Commons Two, Suite 203, Staten Island, New York 10311",www.stpaulsschoolofnursing.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",-
St. Bonaventure University,"St. Bonaventure, NY",https://www.collegexpress.com/college/st-bonaventure-university/1100041/details/,"$35,450",76%,12:1,"St. Bonaventure University, founded in 1858, is a private, coeducational  institution. Its 600-acre campus is located in Olean, 75 miles from Buffalo.",Information Unavailable,Information Unavailable
St. Francis College,"Brooklyn Heights, NY",https://www.collegexpress.com/college/st-francis-college/1100046/details/,"$26,688",84%,Information Unavailable,"St. Francis College is a private, church-affiliated, liberal arts college. Founded in 1884 with the purpose of providing higher education for students with limited economic resources, it adopted coeducation in 1969. Its urban campus is located in Brooklyn Heights.","4-year, Private not-for-profit",-
St. John Fisher College,"Rochester, NY",https://www.collegexpress.com/college/st-john-fisher-college/1100051/details/,"$34,340",68%,11:1,"St. John Fisher College is a coeducational liberal arts college located in Pittsford, New York. Its 154-acre campus is located in Rochester.",Information Unavailable,Information Unavailable
St. John Fisher University,"3690 East Ave, Rochester, New York 14618-3597",https://www.sjf.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St. John's University,"Queens, NY",https://www.collegexpress.com/college/st-johns-university/1100054/details/,"$43,160",75%,17:1,"St. John's University, founded in 1870, is a private, Roman Catholic university. Its 102-acre main campus is located in the Jamaica section of Queens in New York City.",Information Unavailable,Information Unavailable
St. John's University-New York,"8000 Utopia Pky, Queens, New York 11439",www.stjohns.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St. Joseph's College of Nursing,"206 Prospect Ave, Syracuse, New York 13203",https://www.sjhcon.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
St. Joseph's University-New York,"245 Clinton Ave, Brooklyn, New York 11205-3688",www.sjny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
St. Joseph's University—Brooklyn,"Brooklyn, NY",https://www.collegexpress.com/college/st-josephs-university-brooklyn/1100060/details/,"$28,590",70%,10:1,"St. Joseph's University (formerly College) in Brooklyn is a private Catholic liberal arts institution. Founded as a women's college in 1916, it adopted coeducation in 1969. Its five-acre campus is located in a residential section of Brooklyn, 5 miles from Midtown Manhattan.",Information Unavailable,Information Unavailable
St. Joseph's University—Long Island,"Patchogue, NY",https://www.collegexpress.com/college/st-josephs-university-long-island/1100037/details/,Information Unavailable,Information Unavailable,13:1,"Founded in 1916, St. Joseph's University (formerly College) on Long Island is a private Catholic liberal arts institution. Its 56-acre campus is located in Patchoque, 55 miles from midtown Manhattan.",Information Unavailable,Information Unavailable
St. Lawrence University,"Canton, NY",https://www.collegexpress.com/college/st-lawrence-university/1100066/details/,"$58,330",47%,11:1,"St. Lawrence University, founded in 1856, is a private, liberal arts university. Its 1,000-acre campus is located in Canton, in northern New York.",Information Unavailable,Information Unavailable
St. Peter's Hospital College of Nursing,"714 New Scotland Ave, Albany, New York 12208",https://www.sphp.com/careers/schools-of-nursing/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
St. Thomas Aquinas College,"Sparkill, NY",https://www.collegexpress.com/college/st-thomas-aquinas-college/1100073/details/,"$33,400",86%,16:1,"St. Thomas Aquinas College is a private, liberal arts college. Founded in 1952, it adopted coeducation in 1968. Its 43-acre campus is located in Sparkill, 15 miles from New York City.","4-year, Private not-for-profit",-
