Name,Website,Location,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
HJ International Graduate School for Peace and Public Leadership,https://www.uts.edu/,"4 West 43rd Street, New York, New York 10036",,,,,"4-year, Private not-for-profit",-
Hobart William Smith Colleges,www.hws.edu/,"337 Pulteney Street, Geneva, New York 14456",,,,,"4-year, Private not-for-profit",-
Icahn School of Medicine at Mount Sinai,icahn.mssm.edu/,"One Gustave L Levy Place, Box 1217, New York, New York 10029-6574",,,,,"4-year, Private not-for-profit",-
Institute of Culinary Education,https://www.ice.edu/,"225 Liberty Street, New York, New York 10281",,,,,"< 2-year, Private for-profit",Culinary Arts/Chef Training
Isabella Graham Hart School of Practical Nursing,www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/,"470 Skyview Centre Pkwy, Rochester, New York 14622",,,,,"< 2-year, Private not-for-profit",Licensed Practical/Vocational Nurse Training
Island Drafting and Technical Institute,https://www.idti.edu/,"128 Broadway Rte 110, Amityville, New York 11701-2704",,,,,"2-year, Private for-profit",-
Jamestown Business College -,www.jbc.edu/,"25 Center Street, Salamanca, New York 14779-9740",,,,,"4-year, Private for-profit",-
Jefferson Lewis BOCES-Practical Nursing Program,www.boces.com/,"20104 State Route 3, Watertown, New York 13601-9509",,,,,"< 2-year, Public",-
Kehilath Yakov Rabbinical Seminary,kehilathyakov.com/,"340  Illington Road, Ossining, New York 10562",,,,,"4-year, Private not-for-profit",-
Leon Studio One School of Beauty Knowledge,www.leonstudioone.com/school/,"5385 Main St, Williamsville, New York 14221",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Lia Schorr Institute of Cosmetic Skin Care Training,www.liaschorrinstitute.com/,"57 west 57 street suite 1409, New York, New York 10019",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Lincoln Technical Institute-Whitestone,www.lincolntech.edu/campus/queens-ny,"15-30 Petracca Pl, Whitestone, New York 11357",,,,,"< 2-year, Private for-profit",Automobile/Automotive Mechanics Technology/Technician
Long Island Beauty School-Hauppauge,www.libs.edu/,"544 Rte 111, Hauppauge, New York 11788",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Long Island Beauty School-Hempstead,www.libs.edu/,"173-A  Fulton Ave, Hempstead, New York 11550",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Long Island Nail Skin & Hair Institute,www.nailskinhairinstitute.edu/,"1055 Stewart Avenue, Bethpage, New York 11714",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Long Island University,www.liu.edu/,"720 Northern Blvd, Brookville, New York 11548-1327",,,,,"4-year, Private not-for-profit",-
Machzikei Hadath Rabbinical College,https://mhrc.edu/,"5407 16th Ave, Brooklyn, New York 11204-1805",,,,,"4-year, Private not-for-profit",-
Madison Oneida BOCES-Practical Nursing Program,www.moboces.org/programs_services/adulted/health_occupations,"4937 Spring Rd, Verona, New York 13478-0168",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Mandl School-The College of Allied Health,www.mandl.edu/,"254 W 54th St, New York, New York 10019-5516",,,,,"2-year, Private for-profit",-
Manhattanville College,https://www.mville.edu/,"2900 Purchase St, Purchase, New York 10577",,,,,"4-year, Private not-for-profit",-
Marion S Whelan School of Nursing of Geneva General Hospital,www.mswspn.com/,"196 North St, Geneva, New York 14456-1651",,,,,"< 2-year, Private not-for-profit",-
Mechon L'hoyroa,https://www.mechonlhoyroa.com/,"168 Maple Avenue, Monsey, New York 10952-2710",,,,,"4-year, Private not-for-profit",-
Memorial Hospital School of Radiation Therapy Technology,www.mskcc.org/mskcc/html/13431.cfm,"1275 York Ave, New York, New York 10065-6007",,,,,"2-year, Private not-for-profit",-
Merkaz Bnos-Business School,www.mbs-career.org/,"2115 Benson Avenue, Brooklyn, New York 11214",,,,,"2-year, Private not-for-profit",Medical Office Management/Administration
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,https://mesivtaofeasternparkway.com/,"510 Dahill Rd, Brooklyn, New York 11218-5559",,,,,"4-year, primarily associate's, Private not-for-profit",-
Mesivta Torah Vodaath Rabbinical Seminary,independentrabbinicalcolleges.org/index.html,"425 E 9th St, Brooklyn, New York 11218",,,,,"4-year, Private not-for-profit",-
Mesivtha Tifereth Jerusalem of America,mtj.edu/,"145 E Broadway, New York, New York 10002-6301",,,,,"4-year, Private not-for-profit",-
Metropolitan Learning Institute,www.gettraining.org/,"97-77 Queens Blvd, 9th Floor, Rego Park, New York 11374",,,,,"< 2-year, Private not-for-profit",Medical Insurance Specialist/Medical Biller
Miami Ad School-New York,miamiadschool.com/locations/new-york/,"35-37 36th ST, 3rd Floor, Astoria, New York 11106",,,,,"2-year, Private for-profit",-
Mildred Elley School-Albany Campus,www.mildred-elley.edu/,"855 Central Ave, Albany, New York 12206-1513",,,,,"2-year, Private for-profit",-
Mildred Elley-New York Campus,www.mildred-elley.edu/,"25 Broadway 16th Floor, New York, New York 10004-1010",,,,,"2-year, Private for-profit",-
Mirrer Yeshiva Cent Institute,www.mirreryeshiva.com/,"1791-5 Ocean Parkway, Brooklyn, New York 11223-2010",,,,,"4-year, primarily associate's, Private not-for-profit",-
Molloy College,www.molloy.edu/,"1000 Hempstead Ave, Rockville Centre, New York 11571-5002",,,,,"4-year, Private not-for-profit",-
Monroe 2 Orleans BOCES-Center for Workforce Development,www.monroe2boces.org/cwd.aspx,"3589 Big Ridge Rd, Spencerport, New York 14559",,,,,"< 2-year, Public",Dental Assisting/Assistant
Montefiore School of Nursing,montefiorenewrochelle.org/school-of-nursing,"53 Valentine Street, Mount Vernon, New York 10550-2009",,,,,"2-year, Private not-for-profit",-
Mount Sinai Phillips School of Nursing,www.pson.edu/,"148 East 126th Street, New York, New York 10035-6354",,,,,"4-year, Private not-for-profit",-
Nazareth University,https://www2.naz.edu/,"4245 East Ave, Rochester, New York 14618-3790",,,,,"4-year, Private not-for-profit",-
Neighborhood Playhouse School of the Theater,www.neighborhoodplayhouse.org/,"340 E 54th Street, New York City, New York 10022-5017",,,,,"2-year, Private not-for-profit",-
New Age Training,https://newagetraining.com/,"145 West 30th Street, 8th Floor, New York, New York 10001-4034",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
New York Academy of Art,nyaa.edu/,"111 Franklin St, New York, New York 10013-2911",,,,,"4-year, Private not-for-profit",-
New York Automotive and Diesel Institute,www.nyadi.edu/,"178-18 Liberty Avenue, Jamaica, New York 11433-1433",,,,,"2-year, Private for-profit",Diesel Mechanics Technology/Technician
New York College of Health Professions,www.nycollege.edu/,"6851 Jericho Tpk, Suite 210, Syosset, New York 11791-4413",,,,,"4-year, Private not-for-profit",-
New York College of Podiatric Medicine,www.nycpm.edu/,"53 East 124 Street, New York, New York 10035-1940",,,,,"4-year, Private not-for-profit",-
New York College of Traditional Chinese Medicine,www.nyctcm.edu/,"200 Old Country Road, Suite 500, Mineola, New York 11501",,,,,"4-year, Private not-for-profit",-
New York Conservatory for Dramatic Arts,www.nycda.edu/,"39 W 19th Street Fl 2, New York, New York 10011-4225",,,,,"2-year, Private for-profit",-
New York Institute of Beauty,www.nyib.edu/,"11 Oval Drive Suite 180, Islandia, New York 11749-1479",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
New York Institute of Massage Inc,nyinstituteofmassage.com/,"4701 Transit Rd, Williamsville, New York 14221",,,,,"< 2-year, Private for-profit",Massage Therapy/Therapeutic Massage
New York Law School,www.nyls.edu/,"185 West Broadway, New York, New York 10013-2921",,,,,"4-year, Private not-for-profit",-
New York Medical Career Training Center,nymedtraining.com/,"136-20 38th Avenue Suite 5F, Flushing, New York 11354",,,,,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
New York Medical College,https://www.nymc.edu/,"Administration Building, Valhalla, New York 10595",,,,,"4-year, Private not-for-profit",-
New York School of Esthetics & Day Spa,www.newyorkschoolofesthetics.com/,"239 central ave 3rd Floor, white plains, New York 10606-1207",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
New York Seminary,thenyseminary.com/,"911 McDonald Avenue, Brooklyn, New York 11218-5611",,,,,"2-year, Private not-for-profit",-
New York Theological Seminary,https://www.nyts.edu/,"3041 Broadway, New York, New York 10027",,,,,"4-year, Private not-for-profit",-
Northeast College of Health Sciences,https://www.northeastcollege.edu/,"2360 State Route 89, Seneca Falls, New York 13148-0800",,,,,"4-year, Private not-for-profit",-
Northeastern Seminary,www.nes.edu/,"2265 Westside Dr, Rochester, New York 14624",,,,,"4-year, Private not-for-profit",-
Ohel Margulia Seminary,ohelmarguliaseminary.com/,"22 Ashel Lane, Monsey, New York 10952-2610",,,,,"2-year, Private not-for-profit",-
Ohr Hameir Theological Seminary,https://ohrhameir.com/,"141 Furnace Woods Rd, Peekskill, New York 10566",,,,,"4-year, primarily associate's, Private not-for-profit",-
Onondaga Cortland Madison BOCES,ocmboces.org/,"Main Campus, Liverpool, New York 13088",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orange Ulster BOCES-Practical Nursing Program,www.ouboces.org/,"3 Washington Center, Newburgh, New York 12550",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orleans Niagara BOCES-Practical Nursing Program,https://www.onboces.org/,"50 Main Street, Lockport, New York 14094",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Orlo School of Hair Design and Cosmetology,www.theorloschool.com/,"232 North Allen St, Albany, New York 12206",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Otsego Area BOCES-Practical Nursing Program,www.oncboces.org/,"31 Center Street 3rd floor, Oneonta, New York 13820-1142",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Pacific College of Health and Science,www.pacificcollege.edu/,"110 William St. 19th Fl, New York, New York 10038",,,,,"4-year, Private for-profit",-
Paul Mitchell the School-NYC,paulmitchell.edu/nyc,"187 New Dorp Lane, Staten Island, New York 10306",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Paul Mitchell the School-Schenectady,paulmitchell.edu/schenectady,"411 State Street, Schenectady, New York 12305-2303",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Paul Smiths College of Arts and Science,https://www.paulsmiths.edu/,"7777 State Route 30, Paul Smiths, New York 12970-0265",,,,,"4-year, Private not-for-profit",-
Pomeroy College of Nursing at Crouse Hospital,www.crouse.org/nursing,"5000 Brittonfield Parkway, East Syracuse, New York 13057-1687",,,,,"2-year, Private not-for-profit",-
Pratt Institute-Main,https://www.pratt.edu/,"200 Willoughby Ave, Brooklyn, New York 11205",,,,,"4-year, Private not-for-profit",-
Pratt Manhattan-A Division of Pratt Institute,https://www.pratt.edu/,"144 West 14th Street, New York, New York 10011",,,,,"4-year, Private not-for-profit",-
Professional Culinary Academy,professionalculinaryacademy.com/,"875 Elmwood Avenue, Buffalo, New York 14222-1433",,,,,"< 2-year, Private for-profit","Culinary Arts and Related Services, Other"
Rabbinical Academy Mesivta Rabbi Chaim Berlin,https://rabbinicalacademyrabbichaimberlin.com/,"1593 Coney Island Ave, Brooklyn, New York 11230",,,,,"4-year, Private not-for-profit",-
Rabbinical College Beth Shraga,https://rabbinicalcollegebethshraga.com/,"28 Saddle River Rd, Monsey, New York 10952-3033",,,,,"4-year, primarily associate's, Private not-for-profit",-
Rabbinical College Bobover Yeshiva Bnei Zion,rabbinicalcollegeboboveryeshiva.edu/,"1577 48th St, Brooklyn, New York 11219",,,,,"4-year, Private not-for-profit",-
Rabbinical College of Long Island,https://rabbinicalcollegelongisland.com/,"205 W Beech Street, Long Beach, New York 11561",,,,,"4-year, primarily associate's, Private not-for-profit",-
Rabbinical College of Ohr Shimon Yisroel,https://ohr-sy.com/,"215-217 Hewes St, Brooklyn, New York 11211",,,,,"4-year, Private not-for-profit",-
Rabbinical College Ohr Yisroel,www.rabbinicalcollegeohryisroel.com/,"8800 Seaview Ave, Brooklyn, New York 11236",,,,,"4-year, Private not-for-profit",-
Rabbinical Seminary of America,www.rabbinical.org/,"76-01 147th St, Flushing, New York 11367",,,,,"4-year, Private not-for-profit",-
Rabbinical Seminary of America-Ma'yan HaTorah,,"113-25 Myrtle Ave, Richmond Hill, New York 11418",,,,,"4-year, Private not-for-profit",-
Relay Graduate School of Education,www.relay.edu/,"25 Broadway, 3rd Fl, New York, New York 10004",,,,,"4-year, Private not-for-profit",-
Roberts Wesleyan University,www.roberts.edu/,"2301 Westside Dr, Rochester, New York 14624",,,,,"4-year, Private not-for-profit",-
Rockland County BOCES-Practical Nursing Program,www.rocklandboces.org/programs-for-students/adult-education/practical-nursing,"65 Parrott Rd, Bldg 3, West Nyack, New York 10994",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
SAE Institute of Technology-New York,https://usa.sae.edu/campuses/new-york/,"218 West 18th St Fl 4, New York, New York 10011-4552",,,,,"< 2-year, Private for-profit",-
Saint Elizabeth College of Nursing,https://www.secon.edu/,"2215 Genesee Street, Utica, New York 13501",,,,,"2-year, Private not-for-profit",-
Saint John's University - Staten Island Campus,www.stjohns.edu/campuses/staten-island-campus,"300 Howard Avenue, Staten Island, New York 10301-4496",,,,,"4-year, Private not-for-profit",-
Saint Vladimirs Orthodox Theological Seminary,www.svots.edu/,"575 Scarsdale Rd, Yonkers, New York 10707-1699",,,,,"4-year, Private not-for-profit",-
"School of Professional Horticulture, New York Botanical Garden",www.nybg.org/edu/soph/,"2900 Southern Blvd., Bronx, New York 10458-5126",,,,,"2-year, Private not-for-profit",-
Schuyler Steuben Chemung Tioga Allegany BOCES,https://www.gstboces.org/page/adult-education,"459 Philo Road, Elmira, New York 14903",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Seminar L'moros Bais Yaakov,seminarlmorosbaisyaakov.com/,"4409 15th Ave, Brooklyn, New York 11219",,,,,"2-year, Private not-for-profit",-
Sharp Edgez Barber Institute,www.sharpedgez.com/,"398 West Ridge Road, Rochester, New York 14615-0000",,,,,"< 2-year, Private for-profit",Barbering/Barber
Sharp Edgez Barber Institute - Buffalo,www.sharpedgez.com/,"2844 Delaware Avenue, Buffalo, New York 14217-0000",,,,,"< 2-year, Private for-profit",Barbering/Barber
Shear Ego International School of Hair Design,www.shearegoschool.com/,"525 Titus Ave, Rochester, New York 14617",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Sh'or Yoshuv Rabbinical College,https://www.shoryoshuv.org/,"1 Cedarlawn Avenue, Lawrence, New York 11559-1714",,,,,"4-year, Private not-for-profit",-
Sotheby's Institute of Art-NY,www.sothebysinstitute.com/Programmes/PNewyork.aspx,"570 Lexington Avenue, 6th Floor, New York, New York 10022-6717",,,,,"4-year, Private for-profit",-
St Bernard's School of Theology and Ministry,www.stbernards.edu/,"120 French Road, Rochester, New York 14618",,,,,"4-year, Private not-for-profit",-
St Bonaventure University,https://www.sbu.edu/,"3261 W. State Road, Saint Bonaventure, New York 14778-9800",,,,,"4-year, Private not-for-profit",-
St Lawrence University,www.stlawu.edu/,"23 Romoda Drive, Canton, New York 13617",,,,,"4-year, Private not-for-profit",-
St Paul's School of Nursing-Queens,https://www.stpaulsschoolofnursing.edu/,"97-77 Queens Blvd, Rego Park, New York 11374",,,,,"2-year, Private for-profit",-
St Paul's School of Nursing-Staten Island,www.stpaulsschoolofnursing.edu/,"2 Teleport Drive, Corporate Commons Two, Suite 203, Staten Island, New York 10311",,,,,"2-year, Private for-profit",-
St. John Fisher University,https://www.sjf.edu/,"3690 East Ave, Rochester, New York 14618-3597",,,,,"4-year, Private not-for-profit",-
St. John's University-New York,www.stjohns.edu/,"8000 Utopia Pky, Queens, New York 11439",,,,,"4-year, Private not-for-profit",-
St. Joseph's College of Nursing,https://www.sjhcon.edu/,"206 Prospect Ave, Syracuse, New York 13203",,,,,"2-year, Private not-for-profit",-
St. Joseph's University-New York,www.sjny.edu/,"245 Clinton Ave, Brooklyn, New York 11205-3688",,,,,"4-year, Private not-for-profit",-
St. Peter's Hospital College of Nursing,https://www.sphp.com/careers/schools-of-nursing/,"714 New Scotland Ave, Albany, New York 12208",,,,,"2-year, Private not-for-profit",-
State University of New York at Cortland,www2.cortland.edu/,"Miller Building, Cortland, New York 13045-0900",,,,,"4-year, Public",-
State University of New York at New Paltz,www.newpaltz.edu/,"1 Hawk Drive, New Paltz, New York 12561-2443",,,,,"4-year, Public",-
State University of New York at Oswego,https://www.oswego.edu/,"7060 State Route 104, Oswego, New York 13126",,,,,"4-year, Public",-
Studio Jewelers,www.studiojewelersltd.com/,"32 E 31 St, New York, New York 10016-4112",,,,,"< 2-year, Private for-profit",Jewelry Arts
Suffolk County Community College,https://www.sunysuffolk.edu/,"533 College Rd, Selden, New York 11784-2899",,,,,"2-year, Public",-
Sullivan County Community College,https://www.sunysullivan.edu/,"112 College Road, Loch Sheldrake, New York 12759-5151",,,,,"2-year, Public",-
SUNY at Fredonia,https://www.fredonia.edu/,"280 Central Ave, Fredonia, New York 14063-1136",,,,,"4-year, Public",-
SUNY at Purchase College,www.purchase.edu/,"735 Anderson Hill Rd, Purchase, New York 10577-1400",,,,,"4-year, Public",-
SUNY Buffalo State University,https://suny.buffalostate.edu/,"1300 Elmwood Ave, Buffalo, New York 14222",,,,,"4-year, Public",-
SUNY College at Geneseo,https://www.geneseo.edu/,"1 College Circle, Geneseo, New York 14454-1465",,,,,"4-year, Public",-
SUNY College at Plattsburgh,https://www.plattsburgh.edu/,"101 Broad Street, Plattsburgh, New York 12901-2681",,,,,"4-year, Public",-
SUNY College at Potsdam,www.potsdam.edu/,"44 Pierrepont Ave, Potsdam, New York 13676-2294",,,,,"4-year, Public",-
SUNY College of Agriculture and Technology at Cobleskill,www.cobleskill.edu/,"State Route 7, Cobleskill, New York 12043",,,,,"4-year, Public",-
SUNY College of Optometry,www.sunyopt.edu/,"33 West 42nd Street, New York, New York 10036-8003",,,,,"4-year, Public",-
SUNY College of Technology at Alfred,www.alfredstate.edu/,"10 Upper College Drive, Alfred, New York 14802",,,,,"4-year, primarily associate's, Public",-
SUNY College of Technology at Canton,www.canton.edu/,"34 Cornell Drive, Canton, New York 13617-1098",,,,,"4-year, Public",-
SUNY College of Technology at Delhi,www.delhi.edu/,"454 Delhi Drive, Delhi, New York 13753-1100",,,,,"4-year, Public",-
SUNY Downstate Health Sciences University,https://www.downstate.edu/,"450 Clarkson Ave, Brooklyn, New York 11203-2098",,,,,"4-year, Public",-
SUNY Westchester Community College,www.sunywcc.edu/,"75 Grasslands Road, Valhalla, New York 10595",,,,,"2-year, Public",-
Swedish Institute a College of Health Sciences,www.swedishinstitute.edu/,"226 West 26th Street, New York, New York 10001-6700",,,,,"2-year, Private for-profit",-
Talmudical Institute of Upstate New York,https://www.tiuny.org/,"769 Park Ave, Rochester, New York 14618-3046",,,,,"4-year, Private not-for-profit",-
Talmudical Seminary of Bobov,www.independentrabbinicalcolleges.org/,"5120 New Utrecht Ave, Brooklyn, New York 11219",,,,,"4-year, Private not-for-profit",-
Talmudical Seminary Oholei Torah,www.tsot.edu/,"667 Eastern Pky, Brooklyn, New York 11213",,,,,"4-year, Private not-for-profit",-
Teachers College at Columbia University,www.tc.columbia.edu/,"525 W 120th St, New York, New York 10027",,,,,"4-year, Private not-for-profit",-
The Ailey School,www.theaileyschool.edu/,"405 W 55th Street, New York, New York 10019-4402",,,,,"2-year, Private not-for-profit",-
The Juilliard School,www.juilliard.edu/,"60 Lincoln Center Plaza, New York, New York 10023-6588",,,,,"4-year, Private not-for-profit",-
The New School,https://www.newschool.edu/,"New York, New York 10011",,,,,"4-year, Private not-for-profit",-
The Rockefeller University,www.rockefeller.edu/,"1230 York Avenue, New York, New York 10065-6399",,,,,"4-year, Private not-for-profit",-
The Salon Professional Academy-Tonawanda,www.tspabuffalo.com/,"2309 Eggert Rd, Tonawanda, New York 14150",,,,,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Torah Temimah Talmudical Seminary,https://torahtemimahtalmudicalseminary.com/,"3323 Richmond Ave, Staten Island, New York 10312",,,,,"4-year, Private not-for-profit",-
Touro University,https://www.touro.edu/,"50 West 47th Street, New York, New York 10036",,,,,"4-year, Private not-for-profit",-
Transitions Career Institute School of Nursing,tcilpn.org/,"30-50 Whitestone Expressway STE 400, Flushing, New York 11354-1964",,,,,"< 2-year, Private for-profit",Licensed Practical/Vocational Nurse Training
Ulster County Community College,https://www.sunyulster.edu/,"491 Cottekill Rd, Stone Ridge, New York 12484",,,,,"2-year, Public",-
Union Theological Seminary in the City of New York,utsnyc.edu/,"3041 Broadway, New York, New York 10027-5792",,,,,"4-year, Private not-for-profit",-
United Talmudical Seminary,utsny.edu/,"191 Rodney St., Brooklyn, New York 11211",,,,,"4-year, Private not-for-profit",-
University of Mount Saint Vincent,www.mountsaintvincent.edu/,"6301 Riverdale Avenue, Bronx, New York 10471-1093",,,,,"4-year, Private not-for-profit",-
Upstate Medical University,www.upstate.edu/,"750 E Adams St, Syracuse, New York 13210",,,,,"4-year, Public",-
Uta Mesivta of Kiryas Joel,utam.edu/,"48 Bakertown Rd Suite 501, Monroe, New York 10950",,,,,"4-year, Private not-for-profit",-
Utica University,https://www.utica.edu/,"1600 Burrstone Rd, Utica, New York 13502-4892",,,,,"4-year, Private not-for-profit",-
Veeb Nassau County School of Practical Nursing,www.veebpnprogram.org/,"30 East Cherry Street, Hicksville, New York 11801-4302",,,,,"< 2-year, Public",-
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,www.wswheboces.org/,"1051 Dix Ave, Hudson Falls, New York 12839",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Wayne Finger Lakes BOCES-Practical Nursing Program,https://www.wflboces.org/,"131 Drumlin Ct, Newark, New York 14513-1863",,,,,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Weill Medical College of Cornell University,https://weill.cornell.edu/,"1300 York Avenue, New York, New York 10065",,,,,"4-year, Private not-for-profit",-
Westchester School for Medical & Dental Assistants,www.wsmda.edu/,"1053 Saw Mill River Road, Ardsley, New York 10502",,,,,"< 2-year, Private for-profit",Medical/Clinical Assistant
Westchester School of Beauty Culture,westchesterschoolofbeautycultureny.com/,"Six Gramatan Avenue    Suite 200, Mount Vernon, New York 10550-2295",,,,,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Western Suffolk BOCES,www.wilsontech.org/,"152 Laurel Hill Rd, Northport, New York 11768",,,,,"2-year, Public",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
Word of Life Bible Institute,www.wordoflife.edu/,"4230 Glendale Road, Pottersville, New York 12860-0129",,,,,"2-year, Private not-for-profit",-
Yeshiva Derech Chaim,https://ydc.edu/,"1573 39th Street, Brooklyn, New York 11218-0000",,,,,"4-year, Private not-for-profit",-
Yeshiva D'monsey Rabbinical College,https://yeshivadmonsey.com/,"2 Roman Blvd, Monsey, New York 10952",,,,,"4-year, Private not-for-profit",-
Yeshiva Gedolah Imrei Yosef D'spinka,spinka58st.com/,"1466 56th St, Brooklyn, New York 11219",,,,,"4-year, Private not-for-profit",-
Yeshiva Gedolah Kesser Torah,https://yeshivagedolahkessertorah.com/,"50 Cedar Lane, Monsey, New York 10952-2127",,,,,"4-year, Private not-for-profit",-
Yeshiva Karlin Stolin,https://yeshivakarlinstolin.org/,"1818 54th St, Brooklyn, New York 11204-1545",,,,,"4-year, Private not-for-profit",-
Yeshiva Kollel Tifereth Elizer,https://www.yeshivakolleltiferethelizer.com/,"1227 47th Street, Brooklyn, New York 11219",,,,,"4-year, Private not-for-profit",-
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,https://www.yofr.org/,"802 Hicksville Rd, Far Rockaway, New York 11691-5219",,,,,"4-year, Private not-for-profit",-
Yeshiva of Kasho,https://yokny.org/,"590 Smith Street, Brooklyn, New York 11231-3819",,,,,"4-year, Private not-for-profit",-
Yeshiva of Machzikai Hadas,https://yeshivaofmachzikaihadas.com/,"1301 47th Street, Brooklyn, New York 11219-1408",,,,,"4-year, Private not-for-profit",-
Yeshiva of Nitra Rabbinical College,yeshivaofnitra.org/,"1425 Route 17 M, Chester, New York 10918",,,,,"4-year, Private not-for-profit",-
Yeshiva of Ocean,yeshivaofocean.com/,"7120 Highway 52, Greenfield Park, New York 12435-5308",,,,,"4-year, primarily associate's, Private not-for-profit",-
Yeshiva of the Telshe Alumni,https://yeshivatelshealumni.com/,"4904 Independence Ave, Riverdale, New York 10471-2897",,,,,"4-year, Private not-for-profit",-
Yeshiva Ohr Naftoli,https://www.yeshivaohrnaftoli.com/,"701 Blooming Grove Turnpike, New Windsor, New York 12553-8006",,,,,"4-year, primarily associate's, Private not-for-profit",-
Yeshiva Ohr Yisrael,www.yoy.edu/,"2899 Nostrand Avenue, Brooklyn, New York 11229-1817",,,,,"4-year, Private not-for-profit",-
Yeshiva Shaar Ephraim,shaarephraim.org/,"178 Maple Avenue, Monsey, New York 10952-2732",,,,,"4-year, primarily associate's, Private not-for-profit",-
Yeshiva Shaarei Torah of Rockland,www.yst.edu/,"91 W Carlton Rd, Suffern, New York 10901-4003",,,,,"4-year, Private not-for-profit",-
Yeshiva Sholom Shachna,https://yeshivasholomshachna.com/,"401 Elmwood Avenue, Brooklyn, New York 11230",,,,,"4-year, Private not-for-profit",-
Yeshiva Yesoda Hatorah Vetz Chaim,yeshivayh.org/," , Brooklyn, New York 11211-7106",,,,,"4-year, Private not-for-profit",-
Yeshiva Zichron Aryeh,https://yeshivazichronaryeh.com/,"1213 Bay 25th Street, Far Rockaway, New York 11691-0000",,,,,"4-year, Private not-for-profit",-
Yeshivas Novominsk,https://yeshivasnovominsk.com/,"1690 60th Street, Brooklyn, New York 11204-2138",,,,,"4-year, primarily associate's, Private not-for-profit",-
Yeshivas Sanz Klauzenburg,https://yeshivasanzk.org/,"1420 50th Street, Brooklyn, New York 11219-3631",,,,,"4-year, Private not-for-profit",-
Yeshivat Hechal Shemuel,hechalshemuel.com/,"1719 Avenue P, Brooklyn, New York 11229-0000",,,,,"4-year, primarily associate's, Private not-for-profit",-
Yeshivath Shaar Hatorah,shaarhatorah.edu/,"117-06 84 Ave, Kew Gardens, New York 11418",,,,,"4-year, Private not-for-profit",-
Yeshivath Viznitz,https://yeshivathviznitz.com/,"15 Elyon Road, Monsey, New York 10952",,,,,"4-year, Private not-for-profit",-
Yeshivath Zichron Moshe,https://yeshivathzichronmoshe.com/,"84 Zichron Moshe Way, South Fallsburg, New York 12779",,,,,"4-year, primarily associate's, Private not-for-profit",-
